Gene_description Len_aa Len_sym GC GC3s GCn3s GC1 GC2 GC3 T1 T2 T3 C1 C2 C3 A1 A2 A3 G1 G2 G3
NM_001257069.1 176 173 0.449 0.387 0.479 0.619 0.330 0.398 0.114 0.182 0.278 0.216 0.159 0.176 0.267 0.489 0.324 0.403 0.170 0.222
NM_030808.4 345 341 0.456 0.390 0.488 0.565 0.406 0.397 0.194 0.232 0.264 0.206 0.249 0.148 0.241 0.362 0.339 0.359 0.157 0.249
NM_005229.4 428 418 0.634 0.696 0.604 0.654 0.544 0.703 0.131 0.227 0.159 0.318 0.341 0.336 0.215 0.229 0.138 0.336 0.203 0.367
NM_019082.3 547 538 0.557 0.636 0.519 0.640 0.389 0.642 0.148 0.305 0.203 0.324 0.227 0.311 0.212 0.305 0.155 0.316 0.163 0.331
NM_004892.5 215 206 0.460 0.500 0.442 0.512 0.349 0.521 0.237 0.312 0.251 0.209 0.219 0.233 0.251 0.340 0.228 0.302 0.130 0.288
NM_016489.12 297 287 0.359 0.279 0.397 0.512 0.263 0.303 0.172 0.337 0.357 0.172 0.141 0.145 0.316 0.401 0.340 0.340 0.121 0.158
NM_001728.3 385 370 0.648 0.873 0.543 0.623 0.444 0.878 0.148 0.255 0.062 0.247 0.242 0.501 0.229 0.301 0.060 0.377 0.203 0.377
NM_016106.3 642 618 0.392 0.288 0.441 0.508 0.354 0.315 0.173 0.299 0.344 0.188 0.220 0.140 0.319 0.347 0.341 0.319 0.134 0.174
NM_007245.3 1075 1050 0.604 0.601 0.606 0.657 0.545 0.610 0.138 0.175 0.224 0.344 0.364 0.303 0.206 0.280 0.166 0.313 0.181 0.307
NM_021988.5 170 160 0.425 0.306 0.480 0.535 0.394 0.347 0.135 0.271 0.229 0.229 0.171 0.171 0.329 0.335 0.424 0.306 0.224 0.176
NM_001780.5 238 227 0.517 0.634 0.462 0.521 0.378 0.651 0.202 0.387 0.244 0.139 0.185 0.303 0.277 0.235 0.105 0.382 0.193 0.349
NM_024039.2 205 199 0.408 0.447 0.389 0.502 0.259 0.463 0.190 0.332 0.298 0.244 0.141 0.185 0.307 0.410 0.239 0.259 0.117 0.278
NM_080666.3 387 372 0.386 0.274 0.439 0.473 0.382 0.302 0.214 0.269 0.408 0.145 0.194 0.137 0.313 0.349 0.289 0.328 0.189 0.165
NM_006170.3 808 793 0.549 0.598 0.525 0.604 0.438 0.605 0.134 0.210 0.228 0.260 0.265 0.274 0.262 0.351 0.167 0.344 0.173 0.332
NM_004581.5 567 548 0.593 0.719 0.533 0.663 0.388 0.728 0.162 0.300 0.159 0.369 0.212 0.337 0.175 0.312 0.113 0.295 0.176 0.392
NM_000155.3 379 356 0.587 0.629 0.567 0.660 0.449 0.652 0.150 0.235 0.211 0.354 0.269 0.314 0.190 0.317 0.137 0.306 0.179 0.338
NM_001258388.1 216 205 0.488 0.405 0.526 0.569 0.458 0.435 0.185 0.287 0.282 0.213 0.222 0.171 0.245 0.255 0.282 0.356 0.236 0.264
NM_032850.4 461 450 0.589 0.620 0.574 0.640 0.499 0.629 0.156 0.182 0.180 0.293 0.304 0.323 0.204 0.319 0.191 0.347 0.195 0.306
NM_005901.5 467 449 0.446 0.354 0.489 0.507 0.452 0.379 0.206 0.240 0.308 0.231 0.244 0.171 0.287 0.308 0.313 0.276 0.208 0.208
NM_032807.4 1094 1059 0.527 0.621 0.482 0.540 0.408 0.633 0.174 0.279 0.211 0.230 0.207 0.314 0.286 0.314 0.155 0.310 0.201 0.319
NM_152295.4 723 693 0.436 0.405 0.451 0.523 0.355 0.430 0.181 0.266 0.293 0.199 0.166 0.205 0.296 0.379 0.277 0.324 0.189 0.225
NM_018224.3 146 141 0.500 0.589 0.458 0.568 0.329 0.603 0.199 0.315 0.253 0.240 0.158 0.295 0.233 0.356 0.144 0.329 0.171 0.308
NM_005831.4 446 431 0.450 0.529 0.412 0.525 0.280 0.545 0.168 0.251 0.235 0.242 0.150 0.233 0.307 0.469 0.220 0.283 0.130 0.312
NM_003973.4 215 206 0.498 0.442 0.524 0.563 0.465 0.465 0.093 0.205 0.288 0.191 0.330 0.200 0.344 0.330 0.247 0.372 0.135 0.265
NM_003487.3 589 580 0.515 0.359 0.591 0.603 0.574 0.368 0.183 0.063 0.321 0.161 0.129 0.226 0.214 0.363 0.311 0.441 0.445 0.143
NM_004592.3 951 937 0.559 0.600 0.540 0.591 0.482 0.606 0.146 0.166 0.197 0.234 0.305 0.305 0.263 0.352 0.198 0.356 0.177 0.301
NM_006400.4 406 398 0.519 0.548 0.505 0.635 0.365 0.557 0.086 0.256 0.227 0.271 0.241 0.224 0.278 0.379 0.217 0.365 0.123 0.333
NM_020365.4 452 435 0.459 0.462 0.457 0.535 0.358 0.482 0.162 0.319 0.246 0.195 0.186 0.232 0.303 0.323 0.272 0.341 0.173 0.250
NM_003330.3 550 535 0.458 0.406 0.483 0.549 0.404 0.422 0.160 0.275 0.305 0.167 0.207 0.211 0.291 0.322 0.273 0.382 0.196 0.211
NM_001923.4 1140 1105 0.519 0.631 0.466 0.552 0.364 0.642 0.161 0.317 0.229 0.220 0.189 0.346 0.287 0.319 0.129 0.332 0.175 0.296
NM_002434.3 298 287 0.640 0.721 0.601 0.671 0.517 0.732 0.131 0.228 0.111 0.326 0.258 0.393 0.198 0.255 0.158 0.346 0.258 0.339
NM_006754.3 259 248 0.444 0.395 0.467 0.486 0.425 0.421 0.220 0.340 0.378 0.205 0.251 0.232 0.293 0.236 0.201 0.282 0.174 0.189
NM_004674.4 628 605 0.496 0.461 0.512 0.556 0.451 0.481 0.180 0.207 0.280 0.191 0.245 0.228 0.264 0.342 0.239 0.365 0.205 0.253
NM_004899.4 415 401 0.479 0.456 0.489 0.549 0.412 0.475 0.214 0.272 0.277 0.263 0.231 0.260 0.236 0.316 0.248 0.287 0.181 0.214
NM_025115.3 508 497 0.511 0.521 0.506 0.618 0.384 0.531 0.156 0.301 0.238 0.283 0.219 0.252 0.226 0.315 0.230 0.335 0.165 0.280
NM_030914.3 101 97 0.561 0.701 0.495 0.653 0.317 0.713 0.139 0.356 0.158 0.287 0.129 0.317 0.208 0.327 0.129 0.366 0.188 0.396
NM_174894.2 188 184 0.683 0.929 0.563 0.665 0.452 0.931 0.117 0.298 0.032 0.271 0.250 0.463 0.218 0.250 0.037 0.394 0.202 0.468
NM_014260.3 129 127 0.535 0.598 0.504 0.682 0.318 0.605 0.085 0.256 0.155 0.318 0.186 0.147 0.233 0.426 0.240 0.364 0.132 0.457
NM_006414.4 283 277 0.464 0.473 0.460 0.512 0.396 0.484 0.113 0.279 0.251 0.230 0.226 0.216 0.375 0.325 0.265 0.283 0.170 0.269
NM_007042.4 124 121 0.438 0.421 0.446 0.500 0.379 0.435 0.258 0.339 0.315 0.177 0.218 0.218 0.242 0.282 0.250 0.323 0.161 0.218
NM_015454.2 582 566 0.386 0.314 0.420 0.473 0.352 0.333 0.129 0.222 0.261 0.149 0.196 0.131 0.399 0.426 0.405 0.323 0.156 0.203
NM_005789.3 254 247 0.444 0.514 0.410 0.512 0.291 0.528 0.138 0.327 0.264 0.217 0.165 0.220 0.350 0.382 0.209 0.295 0.126 0.307
NM_006296.6 508 492 0.396 0.335 0.424 0.474 0.356 0.356 0.209 0.264 0.303 0.203 0.189 0.169 0.317 0.380 0.341 0.272 0.167 0.187
NM_001227.4 303 294 0.485 0.561 0.449 0.512 0.370 0.574 0.191 0.261 0.228 0.182 0.201 0.337 0.297 0.370 0.198 0.330 0.168 0.238
NM_005008.3 128 126 0.544 0.683 0.477 0.586 0.359 0.688 0.141 0.305 0.188 0.273 0.242 0.352 0.273 0.336 0.125 0.312 0.117 0.336
NM_001166.4 618 590 0.401 0.308 0.445 0.456 0.408 0.340 0.228 0.269 0.377 0.183 0.225 0.149 0.316 0.324 0.283 0.273 0.183 0.191
NM_005134.3 933 900 0.451 0.402 0.474 0.552 0.378 0.423 0.179 0.290 0.324 0.219 0.223 0.196 0.269 0.331 0.253 0.333 0.155 0.227
NM_015017.4 942 911 0.391 0.279 0.444 0.487 0.382 0.303 0.204 0.260 0.377 0.200 0.209 0.131 0.309 0.358 0.321 0.288 0.173 0.172
NM_198217.2 235 228 0.627 0.886 0.503 0.583 0.409 0.889 0.123 0.153 0.051 0.234 0.191 0.438 0.294 0.438 0.060 0.349 0.217 0.451
NM_017749.3 1208 1167 0.571 0.604 0.555 0.578 0.517 0.618 0.171 0.216 0.233 0.280 0.284 0.334 0.252 0.267 0.150 0.298 0.233 0.283
NM_012437.5 136 134 0.586 0.604 0.577 0.713 0.434 0.610 0.081 0.272 0.184 0.316 0.235 0.309 0.206 0.294 0.206 0.397 0.199 0.301
NM_018309.4 684 661 0.412 0.348 0.443 0.501 0.365 0.370 0.200 0.287 0.345 0.189 0.200 0.161 0.298 0.348 0.285 0.313 0.165 0.209
NM_031210.5 109 106 0.465 0.358 0.516 0.569 0.450 0.376 0.156 0.248 0.349 0.229 0.239 0.110 0.275 0.303 0.275 0.339 0.211 0.266
NM_198401.3 228 223 0.468 0.462 0.471 0.570 0.360 0.474 0.184 0.329 0.311 0.241 0.175 0.241 0.246 0.311 0.215 0.329 0.184 0.232
NM_018848.3 570 557 0.429 0.375 0.454 0.481 0.416 0.389 0.209 0.323 0.335 0.214 0.223 0.207 0.311 0.261 0.275 0.267 0.193 0.182
NM_021976.4 533 516 0.610 0.616 0.608 0.670 0.533 0.629 0.144 0.221 0.203 0.321 0.285 0.317 0.186 0.246 0.169 0.349 0.248 0.311
NM_024705.2 242 228 0.528 0.583 0.502 0.566 0.409 0.607 0.174 0.289 0.202 0.252 0.244 0.302 0.260 0.302 0.190 0.314 0.165 0.306
NM_014784.3 1522 1482 0.569 0.617 0.545 0.631 0.448 0.627 0.125 0.235 0.189 0.308 0.263 0.321 0.244 0.317 0.183 0.323 0.185 0.306
NM_007014.4 870 833 0.559 0.671 0.506 0.555 0.437 0.685 0.160 0.231 0.184 0.266 0.233 0.359 0.285 0.332 0.131 0.290 0.203 0.326
NM_005022.3 140 133 0.574 0.714 0.509 0.557 0.436 0.729 0.157 0.279 0.179 0.186 0.229 0.407 0.286 0.286 0.093 0.371 0.207 0.321
NM_006503.3 418 406 0.551 0.707 0.476 0.612 0.325 0.715 0.112 0.309 0.158 0.251 0.194 0.347 0.275 0.366 0.127 0.361 0.132 0.368
NM_005643.3 211 204 0.482 0.490 0.478 0.573 0.365 0.507 0.142 0.237 0.223 0.156 0.251 0.218 0.284 0.398 0.270 0.417 0.114 0.289
NM_003188.3 579 550 0.452 0.376 0.487 0.508 0.440 0.408 0.183 0.233 0.304 0.211 0.257 0.188 0.309 0.326 0.288 0.297 0.183 0.219
NM_021818.3 383 368 0.438 0.326 0.490 0.538 0.423 0.352 0.196 0.209 0.355 0.272 0.245 0.149 0.266 0.368 0.292 0.266 0.178 0.204
NM_017610.7 986 962 0.467 0.331 0.533 0.554 0.501 0.347 0.182 0.184 0.374 0.281 0.314 0.163 0.265 0.315 0.279 0.273 0.187 0.184
NM_004906.4 396 385 0.469 0.444 0.481 0.553 0.394 0.460 0.139 0.202 0.255 0.245 0.210 0.194 0.308 0.404 0.285 0.308 0.184 0.265
NM_004384.4 447 430 0.401 0.309 0.445 0.483 0.385 0.336 0.206 0.244 0.291 0.190 0.197 0.157 0.311 0.371 0.374 0.293 0.188 0.179
NM_004099.5 288 277 0.487 0.487 0.487 0.535 0.420 0.507 0.146 0.316 0.250 0.205 0.271 0.274 0.319 0.264 0.243 0.330 0.149 0.233
NM_001244584.2 458 452 0.481 0.423 0.510 0.561 0.452 0.430 0.159 0.181 0.255 0.240 0.179 0.210 0.279 0.367 0.314 0.321 0.273 0.221
NM_138334.3 188 182 0.677 0.863 0.589 0.734 0.431 0.867 0.112 0.303 0.080 0.378 0.229 0.367 0.154 0.266 0.053 0.356 0.202 0.500
NM_014166.3 270 258 0.448 0.368 0.486 0.567 0.381 0.396 0.144 0.252 0.281 0.219 0.207 0.111 0.289 0.367 0.322 0.348 0.174 0.285
NM_001270680.1 302 290 0.447 0.400 0.469 0.566 0.351 0.424 0.175 0.311 0.275 0.248 0.192 0.205 0.258 0.338 0.301 0.318 0.159 0.219
NM_015367.3 485 472 0.511 0.494 0.519 0.610 0.414 0.507 0.155 0.270 0.235 0.243 0.285 0.210 0.235 0.315 0.258 0.367 0.130 0.297
NM_001270768.1 742 704 0.538 0.685 0.470 0.562 0.352 0.701 0.151 0.305 0.170 0.264 0.195 0.333 0.287 0.344 0.129 0.298 0.156 0.368
NM_022756.5 201 196 0.506 0.551 0.484 0.552 0.403 0.562 0.139 0.174 0.254 0.239 0.224 0.214 0.308 0.423 0.184 0.313 0.179 0.348
NM_001270977.1 335 324 0.484 0.426 0.511 0.591 0.415 0.445 0.140 0.278 0.299 0.221 0.269 0.182 0.269 0.307 0.257 0.370 0.146 0.263
NM_006002.4 230 221 0.414 0.312 0.463 0.565 0.339 0.339 0.161 0.291 0.330 0.213 0.204 0.161 0.274 0.370 0.330 0.352 0.135 0.178
NM_004986.3 1300 1266 0.383 0.334 0.407 0.539 0.259 0.352 0.139 0.257 0.275 0.199 0.180 0.087 0.322 0.484 0.373 0.340 0.079 0.265
NM_005997.2 364 361 0.556 0.529 0.569 0.651 0.484 0.533 0.132 0.184 0.250 0.291 0.291 0.242 0.217 0.332 0.217 0.360 0.192 0.291
NM_014281.4 542 521 0.611 0.752 0.544 0.644 0.426 0.762 0.105 0.269 0.129 0.249 0.282 0.362 0.251 0.304 0.109 0.395 0.144 0.400
NM_002382.4 160 157 0.544 0.643 0.495 0.581 0.400 0.650 0.125 0.163 0.156 0.269 0.225 0.362 0.294 0.438 0.194 0.312 0.175 0.287
NM_017518.7 368 349 0.604 0.779 0.523 0.617 0.405 0.791 0.147 0.258 0.111 0.277 0.207 0.380 0.236 0.337 0.098 0.340 0.198 0.410
NM_001271420.1 273 262 0.435 0.412 0.445 0.549 0.319 0.436 0.150 0.282 0.267 0.223 0.209 0.183 0.300 0.399 0.297 0.326 0.110 0.253
NM_001271573.1 102 97 0.474 0.485 0.469 0.539 0.373 0.510 0.186 0.333 0.275 0.284 0.225 0.216 0.275 0.294 0.216 0.255 0.147 0.294
NM_004800.2 663 628 0.426 0.406 0.436 0.463 0.379 0.437 0.258 0.359 0.330 0.190 0.210 0.207 0.279 0.262 0.232 0.273 0.169 0.231
NM_014341.2 372 352 0.610 0.722 0.559 0.626 0.468 0.737 0.161 0.317 0.172 0.269 0.245 0.360 0.212 0.215 0.091 0.358 0.223 0.376
NM_001271643.1 937 896 0.406 0.365 0.426 0.463 0.363 0.393 0.241 0.329 0.352 0.208 0.201 0.154 0.296 0.308 0.255 0.255 0.162 0.239
NM_005444.2 299 291 0.477 0.460 0.485 0.552 0.405 0.475 0.174 0.318 0.274 0.288 0.271 0.227 0.274 0.278 0.251 0.264 0.134 0.247
NM_001271675.1 805 785 0.463 0.396 0.496 0.554 0.425 0.411 0.144 0.225 0.275 0.217 0.267 0.175 0.302 0.350 0.314 0.337 0.158 0.236
NM_025198.4 385 375 0.377 0.333 0.399 0.452 0.330 0.351 0.218 0.327 0.291 0.200 0.182 0.153 0.330 0.343 0.358 0.252 0.148 0.197
NM_030793.4 1113 1069 0.450 0.399 0.473 0.537 0.388 0.423 0.167 0.271 0.312 0.218 0.200 0.217 0.296 0.341 0.265 0.319 0.188 0.206
NM_001892.5 337 321 0.442 0.474 0.428 0.469 0.359 0.499 0.184 0.276 0.261 0.202 0.166 0.249 0.347 0.365 0.240 0.267 0.193 0.249
NM_001068.3 1621 1568 0.386 0.289 0.432 0.492 0.355 0.312 0.178 0.254 0.370 0.154 0.210 0.120 0.331 0.392 0.318 0.337 0.144 0.192
NM_003664.4 1094 1062 0.415 0.352 0.445 0.504 0.369 0.371 0.158 0.282 0.339 0.186 0.227 0.154 0.338 0.348 0.290 0.317 0.143 0.218
NM_020156.4 363 347 0.379 0.280 0.426 0.482 0.344 0.311 0.234 0.256 0.375 0.187 0.185 0.165 0.284 0.399 0.314 0.295 0.160 0.146
NM_003668.3 471 449 0.481 0.535 0.456 0.544 0.344 0.556 0.140 0.289 0.229 0.246 0.189 0.248 0.316 0.367 0.214 0.297 0.155 0.308
NM_014814.2 389 372 0.450 0.457 0.447 0.553 0.316 0.481 0.172 0.311 0.260 0.211 0.159 0.234 0.275 0.373 0.260 0.342 0.157 0.247
NM_002161.5 1262 1215 0.443 0.430 0.450 0.524 0.355 0.452 0.181 0.310 0.307 0.211 0.195 0.218 0.295 0.335 0.241 0.313 0.160 0.234
NM_032344.3 303 295 0.650 0.732 0.611 0.713 0.498 0.739 0.129 0.261 0.158 0.360 0.281 0.383 0.158 0.241 0.102 0.353 0.218 0.356
NM_001440.3 919 883 0.566 0.707 0.500 0.587 0.394 0.718 0.180 0.301 0.193 0.279 0.225 0.382 0.234 0.305 0.089 0.308 0.169 0.336
NM_016625.3 334 330 0.440 0.306 0.506 0.476 0.530 0.314 0.153 0.123 0.275 0.189 0.243 0.147 0.371 0.347 0.410 0.287 0.287 0.168
NM_001271840.1 419 406 0.465 0.397 0.497 0.532 0.446 0.415 0.177 0.203 0.320 0.274 0.246 0.239 0.291 0.351 0.265 0.258 0.200 0.177
NM_005340.6 126 121 0.471 0.380 0.514 0.643 0.365 0.405 0.119 0.302 0.405 0.262 0.190 0.183 0.238 0.333 0.190 0.381 0.175 0.222
NM_015511.4 384 366 0.569 0.727 0.496 0.591 0.378 0.740 0.156 0.318 0.146 0.273 0.221 0.391 0.253 0.305 0.115 0.318 0.156 0.349
NM_024666.4 315 303 0.453 0.380 0.488 0.568 0.387 0.403 0.181 0.276 0.302 0.178 0.235 0.210 0.251 0.337 0.295 0.390 0.152 0.194
NM_014437.4 324 315 0.622 0.708 0.581 0.713 0.438 0.716 0.142 0.386 0.139 0.352 0.256 0.306 0.145 0.176 0.145 0.361 0.182 0.410
NM_025209.3 836 812 0.444 0.369 0.480 0.528 0.417 0.388 0.171 0.233 0.312 0.242 0.262 0.166 0.301 0.349 0.300 0.286 0.156 0.221
NM_004578.3 218 211 0.445 0.408 0.463 0.505 0.404 0.427 0.197 0.271 0.271 0.161 0.211 0.197 0.298 0.326 0.303 0.344 0.193 0.229
NM_001272049.1 651 626 0.577 0.752 0.494 0.596 0.373 0.762 0.144 0.300 0.132 0.264 0.210 0.364 0.260 0.327 0.106 0.332 0.163 0.398
NM_033296.2 127 120 0.646 0.925 0.517 0.677 0.331 0.929 0.071 0.276 0.031 0.260 0.189 0.315 0.252 0.394 0.039 0.417 0.142 0.614
NM_052877.4 301 290 0.526 0.538 0.520 0.605 0.419 0.555 0.120 0.256 0.223 0.296 0.229 0.213 0.276 0.326 0.223 0.309 0.189 0.342
NM_015023.4 676 653 0.574 0.703 0.513 0.593 0.416 0.713 0.154 0.249 0.176 0.265 0.200 0.404 0.253 0.336 0.111 0.328 0.216 0.309
NM_003925.2 580 562 0.416 0.347 0.448 0.471 0.409 0.367 0.186 0.231 0.317 0.183 0.207 0.184 0.343 0.360 0.316 0.288 0.202 0.183
NM_002734.4 381 371 0.472 0.434 0.490 0.570 0.396 0.449 0.160 0.276 0.310 0.186 0.205 0.181 0.270 0.328 0.241 0.383 0.192 0.268
NM_001276293.1 583 572 0.566 0.685 0.508 0.604 0.403 0.691 0.141 0.285 0.175 0.274 0.225 0.357 0.256 0.312 0.134 0.329 0.178 0.334
NM_013326.4 657 637 0.469 0.521 0.445 0.531 0.341 0.536 0.195 0.329 0.257 0.248 0.205 0.266 0.274 0.330 0.207 0.283 0.135 0.269
NM_207005.2 251 245 0.548 0.571 0.537 0.614 0.450 0.582 0.116 0.215 0.251 0.271 0.247 0.259 0.271 0.335 0.167 0.343 0.203 0.323
NM_018114.5 376 361 0.562 0.620 0.535 0.628 0.423 0.636 0.149 0.314 0.237 0.314 0.226 0.311 0.223 0.263 0.128 0.314 0.197 0.324
NM_006874.3 533 515 0.445 0.326 0.501 0.522 0.463 0.349 0.139 0.251 0.304 0.197 0.330 0.137 0.340 0.285 0.347 0.325 0.133 0.212
NM_014325.3 474 454 0.486 0.540 0.461 0.513 0.386 0.559 0.141 0.278 0.249 0.188 0.194 0.295 0.346 0.335 0.192 0.325 0.192 0.264
NM_001521.3 911 875 0.543 0.505 0.561 0.619 0.485 0.525 0.184 0.238 0.267 0.317 0.283 0.262 0.196 0.277 0.209 0.302 0.202 0.262
NM_004793.3 959 925 0.628 0.841 0.527 0.641 0.395 0.847 0.107 0.288 0.081 0.251 0.212 0.405 0.251 0.317 0.072 0.390 0.184 0.442
NM_001001.4 106 104 0.475 0.587 0.421 0.434 0.396 0.594 0.151 0.198 0.226 0.208 0.142 0.198 0.415 0.406 0.179 0.226 0.255 0.396
NM_020194.5 342 329 0.452 0.304 0.522 0.564 0.462 0.330 0.140 0.257 0.339 0.257 0.275 0.135 0.295 0.281 0.330 0.307 0.187 0.196
NM_170753.3 593 576 0.413 0.309 0.462 0.521 0.388 0.329 0.196 0.268 0.381 0.214 0.204 0.167 0.283 0.344 0.290 0.307 0.184 0.162
NM_144716.5 179 176 0.596 0.716 0.537 0.687 0.380 0.721 0.039 0.179 0.112 0.235 0.201 0.246 0.274 0.441 0.168 0.453 0.179 0.475
NM_003403.4 414 404 0.585 0.693 0.532 0.635 0.418 0.700 0.114 0.203 0.150 0.225 0.217 0.391 0.251 0.379 0.150 0.411 0.200 0.309
NM_023929.4 847 820 0.503 0.472 0.517 0.574 0.445 0.489 0.163 0.210 0.272 0.205 0.211 0.247 0.263 0.345 0.240 0.368 0.234 0.242
NM_005731.3 300 293 0.474 0.560 0.433 0.523 0.330 0.570 0.170 0.293 0.220 0.180 0.200 0.317 0.307 0.377 0.210 0.343 0.130 0.253
NM_032237.4 350 330 0.518 0.615 0.474 0.566 0.351 0.637 0.160 0.311 0.200 0.289 0.189 0.314 0.274 0.337 0.163 0.277 0.163 0.323
NM_032375.5 276 269 0.687 0.743 0.660 0.725 0.587 0.750 0.101 0.170 0.141 0.322 0.388 0.359 0.174 0.243 0.109 0.402 0.199 0.391
NM_006352.4 522 506 0.543 0.662 0.487 0.548 0.410 0.672 0.178 0.243 0.178 0.218 0.211 0.372 0.274 0.347 0.149 0.330 0.199 0.301
NM_015127.4 501 479 0.458 0.380 0.495 0.535 0.433 0.407 0.194 0.251 0.315 0.198 0.220 0.176 0.271 0.315 0.277 0.337 0.214 0.232
NM_016082.4 588 572 0.520 0.551 0.505 0.568 0.429 0.563 0.155 0.270 0.277 0.241 0.213 0.260 0.277 0.301 0.160 0.327 0.216 0.303
NM_015926.5 313 301 0.602 0.714 0.549 0.594 0.486 0.725 0.176 0.259 0.179 0.249 0.259 0.374 0.230 0.256 0.096 0.345 0.227 0.351
NM_005124.3 1475 1453 0.442 0.312 0.505 0.448 0.555 0.322 0.237 0.200 0.362 0.165 0.361 0.173 0.315 0.245 0.316 0.283 0.194 0.149
NM_197977.2 584 576 0.408 0.345 0.439 0.476 0.394 0.354 0.170 0.200 0.375 0.243 0.130 0.175 0.354 0.406 0.271 0.233 0.264 0.180
NM_014254.2 443 421 0.437 0.420 0.445 0.492 0.370 0.449 0.217 0.291 0.273 0.208 0.178 0.219 0.291 0.339 0.278 0.284 0.192 0.230
NM_006007.3 213 205 0.449 0.351 0.495 0.465 0.507 0.376 0.174 0.178 0.319 0.178 0.282 0.178 0.362 0.315 0.305 0.286 0.225 0.197
NM_017715.3 131 124 0.524 0.565 0.506 0.603 0.382 0.588 0.168 0.313 0.260 0.237 0.244 0.221 0.229 0.305 0.153 0.366 0.137 0.366
NM_006354.3 432 421 0.586 0.698 0.531 0.664 0.387 0.706 0.095 0.218 0.181 0.308 0.225 0.301 0.241 0.396 0.113 0.356 0.162 0.405
NM_019887.5 239 229 0.476 0.454 0.486 0.527 0.423 0.477 0.192 0.255 0.268 0.192 0.276 0.146 0.280 0.322 0.255 0.335 0.146 0.331
NM_016638.3 402 392 0.653 0.724 0.618 0.612 0.614 0.731 0.149 0.127 0.137 0.251 0.311 0.326 0.239 0.259 0.132 0.361 0.303 0.405
NM_018446.3 371 357 0.431 0.401 0.446 0.493 0.377 0.423 0.181 0.305 0.315 0.205 0.216 0.243 0.326 0.318 0.261 0.288 0.162 0.181
NM_003838.4 607 588 0.393 0.320 0.428 0.461 0.377 0.341 0.244 0.321 0.356 0.170 0.204 0.171 0.295 0.301 0.303 0.292 0.173 0.170
NM_014923.4 1142 1106 0.431 0.305 0.491 0.511 0.454 0.327 0.193 0.233 0.344 0.215 0.257 0.179 0.296 0.313 0.329 0.297 0.196 0.148
NM_005690.4 699 681 0.420 0.325 0.466 0.554 0.365 0.342 0.122 0.313 0.352 0.223 0.203 0.152 0.325 0.322 0.306 0.330 0.162 0.190
NM_152713.4 705 664 0.471 0.514 0.451 0.487 0.384 0.542 0.244 0.353 0.308 0.200 0.220 0.298 0.270 0.262 0.150 0.287 0.165 0.244
NM_032102.3 282 277 0.657 0.765 0.605 0.518 0.684 0.770 0.255 0.096 0.131 0.294 0.294 0.489 0.227 0.220 0.099 0.223 0.390 0.280
NM_002750.3 384 365 0.418 0.381 0.436 0.513 0.331 0.411 0.172 0.305 0.297 0.214 0.180 0.193 0.315 0.365 0.292 0.299 0.151 0.219
NM_018639.4 404 382 0.544 0.613 0.512 0.532 0.465 0.634 0.210 0.282 0.200 0.257 0.240 0.351 0.257 0.252 0.166 0.275 0.225 0.282
NM_020774.3 1006 973 0.461 0.362 0.508 0.585 0.414 0.383 0.152 0.249 0.366 0.213 0.190 0.173 0.262 0.338 0.251 0.373 0.224 0.210
NM_003340.6 147 140 0.415 0.300 0.468 0.476 0.435 0.333 0.204 0.265 0.381 0.238 0.265 0.163 0.320 0.299 0.286 0.238 0.170 0.170
NM_006859.3 372 359 0.427 0.304 0.486 0.540 0.414 0.328 0.175 0.247 0.339 0.207 0.220 0.137 0.285 0.339 0.333 0.333 0.194 0.191
NM_005916.4 719 693 0.557 0.633 0.520 0.629 0.395 0.647 0.132 0.285 0.203 0.273 0.213 0.292 0.239 0.320 0.150 0.356 0.182 0.355
NM_032195.2 2303 2185 0.486 0.388 0.532 0.531 0.508 0.419 0.188 0.231 0.278 0.217 0.363 0.148 0.281 0.261 0.303 0.315 0.145 0.272
NM_014835.3 468 446 0.535 0.686 0.465 0.513 0.391 0.701 0.173 0.250 0.158 0.212 0.199 0.353 0.314 0.359 0.141 0.301 0.192 0.348
NM_002883.3 587 574 0.580 0.711 0.516 0.641 0.382 0.717 0.116 0.281 0.143 0.223 0.245 0.344 0.244 0.337 0.140 0.417 0.136 0.373
NM_016652.5 848 813 0.466 0.469 0.465 0.539 0.369 0.491 0.184 0.243 0.242 0.210 0.198 0.221 0.277 0.388 0.268 0.329 0.171 0.270
NM_002882.3 201 193 0.511 0.591 0.473 0.592 0.333 0.607 0.104 0.204 0.184 0.209 0.219 0.284 0.303 0.463 0.209 0.383 0.114 0.323
NM_003404.4 246 236 0.457 0.475 0.448 0.545 0.329 0.496 0.154 0.240 0.260 0.195 0.207 0.203 0.301 0.431 0.244 0.350 0.122 0.293
NM_007372.3 938 910 0.485 0.422 0.515 0.578 0.438 0.439 0.119 0.205 0.325 0.212 0.211 0.219 0.303 0.357 0.236 0.366 0.227 0.221
NM_016324.3 548 537 0.531 0.575 0.509 0.595 0.414 0.584 0.142 0.208 0.221 0.285 0.214 0.261 0.263 0.378 0.195 0.310 0.201 0.323
NM_022488.4 314 302 0.419 0.338 0.458 0.557 0.338 0.363 0.156 0.252 0.293 0.172 0.207 0.146 0.287 0.411 0.344 0.385 0.131 0.217
NM_012160.4 621 598 0.429 0.366 0.459 0.498 0.401 0.390 0.214 0.301 0.345 0.243 0.219 0.185 0.288 0.298 0.266 0.254 0.182 0.205
